NAME                                                        VERSION                                                                            TYPE                         
#ZipLibrary                                                 4.84.0.0                                                                           dotnet                        
(net46)                                                     3.0.3000.0                                                                         dotnet                        
(net46)                                                     4.0.0.398                                                                          dotnet                        
ASP.Net WebPages                                            1.0.20105.407                                                                      dotnet                        
AlphaFS                                                     2.2.6.0                                                                            dotnet                        
AlphaVSS                                                                                                                                       dotnet     (+1 duplicate)     
AlphaVSS                                                    1.4.0.0                                                                            dotnet     (+1 duplicate)     
Amazon Web Services SDK for .NET                            3.3.103.52                                                                         dotnet                        
Amazon Web Services SDK for .NET                            3.3.103.71                                                                         dotnet                        
Amazon Web Services SDK for .NET                            3.3.104.43                                                                         dotnet                        
Assuan                                                      8.8.3.4de3154                                                                      dotnet                        
Bouncy Castle for .NET                                      1.8.19031.1                                                                        dotnet                        
C# LDAP                                                     4.0.0.0                                                                            dotnet                        
COSXML                                                      5.4.11.0                                                                           dotnet                        
CoCoL                                                       1.7.1.0                                                                            dotnet                        
CommandLine.BackendTester                                   2.0.7.1                                                                            dotnet                        
Commons.Xml.Relaxng.dll                                     0.0.0.1                                                                            dotnet                        
Dropbox                                                     2.0.7.1                                                                            dotnet                        
Duplicati                                                   2.0.7.1                                                                            dotnet     (+1 duplicate)     
Duplicati.Backend.AlternativeFTP                            2.0.7.1                                                                            dotnet                        
Duplicati.Backend.CloudFiles                                2.0.7.1                                                                            dotnet                        
Duplicati.Backend.FTP                                       2.0.7.1                                                                            dotnet                        
Duplicati.Backend.File                                      2.0.7.1                                                                            dotnet                        
Duplicati.Backend.Jottacloud                                2.0.7.1                                                                            dotnet                        
Duplicati.Backend.S3                                        2.0.7.1                                                                            dotnet     (+2 duplicates)    
Duplicati.Backend.WEBDAV                                    2.0.7.1                                                                            dotnet                        
Duplicati.CommandLine                                       2.0.7.1                                                                            dotnet                        
Duplicati.CommandLine.BackendTool                           2.0.7.1                                                                            dotnet                        
Duplicati.CommandLine.ConfigurationImporter                 2.0.7.1                                                                            dotnet                        
Duplicati.CommandLine.RecoveryTool                          2.0.7.1                                                                            dotnet                        
Duplicati.Compression                                       2.0.7.1                                                                            dotnet                        
Duplicati.Core                                              2.0.7.1                                                                            dotnet                        
Duplicati.DynamicLoader                                     2.0.7.1                                                                            dotnet                        
Duplicati.GUI.TrayIcon                                      2.0.7.1                                                                            dotnet                        
Duplicati.Library.AutoUpdater                               2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Backblaze                         2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Box                               2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.GoogleServices                    2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.HubiC                             2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Mega                              2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.OneDrive                          2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.OpenStack                         2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Rclone                            2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.SSHv2                             2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.SharePoint                        2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Sia                               2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.TahoeLAFS                         2.0.7.1                                                                            dotnet                        
Duplicati.Library.Backend.Tardigrade                        2.0.7.1                                                                            dotnet     (+1 duplicate)     
Duplicati.Library.Backend.TencentCOS                        2.0.7.1                                                                            dotnet                        
Duplicati.Library.IO                                        2.0.7.1                                                                            dotnet                        
Duplicati.Library.Interfaces                                2.0.7.1                                                                            dotnet                        
Duplicati.Library.Localization                              2.0.7.1                                                                            dotnet                        
Duplicati.Library.Modules.Builtin                           2.0.7.1                                                                            dotnet                        
Duplicati.Library.OAuthHelper                               2.0.7.1                                                                            dotnet                        
Duplicati.Library.UsageReporter                             2.0.7.1                                                                            dotnet                        
Duplicati.Logging                                           2.0.7.1                                                                            dotnet                        
Duplicati.Main                                              2.0.7.1                                                                            dotnet                        
Duplicati.Server                                            2.0.7.1                                                                            dotnet                        
Duplicati.Server.Serialization                              2.0.7.1                                                                            dotnet                        
Duplicati.Service                                           2.0.7.1                                                                            dotnet                        
Duplicati.Tools.dll                                         0.0.0.0                                                                            dotnet                        
Encryption                                                  2.0.7.1                                                                            dotnet                        
FasterHashing                                               1.1.2.23404                                                                        dotnet                        
FluentFTP                                                   27.1.1.0                                                                           dotnet                        
GNU Privacy Guard (GnuPG)                                   2.2.17                                                                             dotnet                        
GPGME                                                       1.13.1                                                                             dotnet                        
HttpServer                                                  1.0.0.0                                                                            dotnet                        
I18N.CJK.dll                                                4.0.0.0                                                                            dotnet                        
I18N.MidEast.dll                                            4.0.0.0                                                                            dotnet                        
I18N.Other.dll                                              4.0.0.0                                                                            dotnet                        
I18N.Rare.dll                                               4.0.0.0                                                                            dotnet                        
I18N.West.dll                                               4.0.0.0                                                                            dotnet                        
I18N.dll                                                    4.0.0.0                                                                            dotnet                        
IBM.Data.DB2.dll                                            1.0.0.0                                                                            dotnet                        
Json.NET                                                    13.0.2.27524                                                                       dotnet                        
MONO CLI                                                    4.0.0.0                                                                            dotnet     (+4 duplicates)    
MONO CLI                                                    4.6.57.0                                                                           dotnet     (+1 duplicate)     
MailKit                                                     2.3.1.0                                                                            dotnet                        
MegaApiClient                                               1.10.3+Branch.tags-v1.10.3.Sha.f97b1cf13430ca4dd3a66b62f2aa43ba07e3af07            dotnet                        
Microsoft Azure Key Vault Core                              3.0.419.36903                                                                      dotnet                        
Microsoft Azure Key Vault WebKey                            3.0.419.36903                                                                      dotnet                        
Microsoft Rest Azure Client Runtime                         3.3.19                                                                             dotnet                        
Microsoft Rest Client Runtime                               2.3.20.0                                                                           dotnet                        
Microsoft.Azure.Storage.Blob.dll                            11.0.1.0                                                                           dotnet                        
Microsoft.Azure.Storage.Common.dll                          11.0.1.0                                                                           dotnet                        
Microsoft.Azure.Storage.File.dll                            11.0.1.0                                                                           dotnet                        
Microsoft.Azure.Storage.Queue.dll                           11.0.1.0                                                                           dotnet                        
Microsoft.SharePoint.Client                                 16.1.4915.1200                                                                     dotnet                        
Microsoft.SharePoint.Client.Runtime                         16.1.4915.1200                                                                     dotnet                        
Microsoft.VisualC.dll                                       10.0.0.0                                                                           dotnet                        
Microsoft.WindowsAzure.Storage.dll                          9.3.2.0                                                                            dotnet                        
MimeKit                                                     2.3.1.0                                                                            dotnet                        
Minio                                                       3.1.7.0                                                                            dotnet                        
Mono Common Language Infrastructure                         11.0.0.0                                                                           dotnet                        
Mono Common Language Infrastructure                         2.1.0.0                                                                            dotnet                        
Mono Common Language Infrastructure                         4.0.0.0                                                                            dotnet     (+133 duplicates)  
Mono Common Language Infrastructure                         4.6.57.0                                                                           dotnet     (+73 duplicates)   
Mono Security Tools                                         6.12.0.182                                                                         dotnet                        
Mono.Cairo.dll                                              4.0.0.0                                                                            dotnet                        
Mono.Cecil                                                  0.11.1.0                                                                           dotnet                        
Mono.Cecil                                                  0.9.5.0                                                                            dotnet                        
Mono.CompilerServices.SymbolWriter.dll                      4.0.0.0                                                                            dotnet                        
Mono.Data.Tds.dll                                           4.0.0.0                                                                            dotnet                        
Mono.Debugger.Soft.dll                                      4.0.0.0                                                                            dotnet                        
Mono.Management.dll                                         4.0.0.0                                                                            dotnet                        
Mono.Parallel.dll                                           4.0.0.0                                                                            dotnet                        
Mono.Posix.dll                                              4.0.0.0                                                                            dotnet                        
Mono.Tasklets.dll                                           4.0.0.0                                                                            dotnet                        
Mono.WebBrowser                                             4.6.57.0                                                                           dotnet                        
Mozilla Roots Importer                                      0.0.0.0                                                                            dotnet     (+1 duplicate)     
NGettext                                                    0.6.4                                                                              dotnet                        
Otp.NET                                                     1.2.2.0                                                                            dotnet                        
PEAPI.dll                                                   4.0.0.0                                                                            dotnet                        
RestSharp                                                   106.3.1.3                                                                          dotnet                        
SMDiagnostics.dll                                           4.6.57.0                                                                           dotnet                        
SQLite-net                                                  1.7.335.0                                                                          dotnet                        
SQLiteHelper                                                2.0.7.1                                                                            dotnet                        
SQLitePCLRaw.batteries_v2                                   2.0.3.851                                                                          dotnet                        
SQLitePCLRaw.core                                           2.0.3.851                                                                          dotnet                        
SQLitePCLRaw.nativelibrary                                  2.0.3.851                                                                          dotnet                        
SQLitePCLRaw.provider.dynamic_cdecl                         2.0.3.851                                                                          dotnet                        
SSH.NET                                                     2020.0.2                                                                           dotnet                        
SharpAESCrypt                                               1.3.3.0                                                                            dotnet                        
SharpCompress                                               0.24.0                                                                             dotnet                        
System.Buffers                                              4.6.25519.03                                                                       dotnet                        
System.Data.Common                                          4.6.26011.01                                                                       dotnet                        
System.Data.SQLite                                          1.0.111.0                                                                          dotnet     (+8 duplicates)    
System.Data.SQLite                                          1.0.60.0                                                                           dotnet                        
System.Data.SQLite                                          1.0.61.0                                                                           dotnet                        
System.Diagnostics.StackTrace                               4.6.26011.01                                                                       dotnet                        
System.Diagnostics.Tracing                                  4.6.26011.01                                                                       dotnet                        
System.Globalization.Extensions                             4.6.26011.01                                                                       dotnet                        
System.IO.Compression                                       4.6.26011.01                                                                       dotnet                        
System.Json                                                 4.6.57.0                                                                           dotnet                        
System.Memory                                               4.6.27617.02                                                                       dotnet                        
System.Memory                                               4.6.28619.01                                                                       dotnet                        
System.Net.Http                                             4.6.26011.01                                                                       dotnet                        
System.Net.Http.Formatting                                  4.0.0.0                                                                            dotnet                        
System.Net.Sockets                                          4.6.26011.01                                                                       dotnet                        
System.Numerics.Vectors                                     4.6.25519.03                                                                       dotnet                        
System.Reactive.Core                                        2.2.0.0                                                                            dotnet                        
System.Reactive.Debugger                                    2.2.0.0                                                                            dotnet                        
System.Reactive.Experimental                                2.2.0.0                                                                            dotnet                        
System.Reactive.Interfaces                                  2.2.0.0                                                                            dotnet                        
System.Reactive.Linq                                        2.2.0.0                                                                            dotnet                        
System.Reactive.Observable.Aliases.dll                      0.0.0.0                                                                            dotnet                        
System.Reactive.PlatformServices                            2.2.0.0                                                                            dotnet                        
System.Reactive.Providers                                   2.2.0.0                                                                            dotnet                        
System.Reactive.Runtime.Remoting                            2.2.0.0                                                                            dotnet                        
System.Reactive.Windows.Forms                               2.2.0.0                                                                            dotnet                        
System.Reactive.Windows.Threading                           2.2.0.0                                                                            dotnet                        
System.Runtime.CompilerServices.Unsafe                      4.6.26919.02                                                                       dotnet                        
System.Runtime.CompilerServices.Unsafe                      5.0.20.51904                                                                       dotnet                        
